id,WEEK,DATE,REGION,TWAMP,SITE_ID,SITE_NAME,PRIORITY,PROGRAM_MAPPING,TRANSPORT_OWNER,VLAN_U,TRANSPORT,SITE_HUB,DATEK,LINK_ROUTE,SUSPECT,SUSPECT_CATEGORY,RECOMMENDATION_ACTION,ASSESSMENT_STATUS,ACTIVITY_STATUS,QUALITY_STATUS_WEEKLY,FINAL_STATUS,evidence,created_at,updated_at,updated_by,signed_year,date_ran,week_ran
1,52,2021-12-30,01-SUMBAGUT,EID,BGE649,BGE649MM1-TUKTUK-SIADONG,P1,Red Transport 2021,TELKOM,2445,METRO,BGE187,SME-D1-ABAA 1/1/13 IP ONT 10.199.25.16,#N/A,Radio Config 1+0 dengan Capacity 200Mbps. Link Termonitor aman dari paketloss. Interval utilitas bandwith 0-15%,0,0,DONE,OPEN,SPIKE,CLOSED,NULL,2022-03-21 06:29:44,2022-03-24 08:38:54,Marcxopolo,2022,NULL,NULL
2,52,2021-12-30,01-SUMBAGUT,EID,BGE649,BGE649MM2-TUKTUK-SIADONG,P1,Red Transport 2021,TELKOM,2445,RADIO,BGE187,SME-D1-ABAA 1/1/13 IP ONT 10.199.25.16,#N/A,Radio Config 1+0 dengan Capacity 200Mbps. Link Termonitor aman dari paketloss. Interval utilitas bandwith 0-15%,0,0,DONE,OPEN,SPIKE,CLOSED,NULL,2022-03-21 06:29:44,2022-03-24 08:39:23,Marcxopolo,2022,NULL,NULL
3,52,2021-12-30,01-SUMBAGUT,EID,BIR383,BIR383MM2-MEUNASAH-BLANG,P4,No Program,TELKOMSEL,2406,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,OPEN,OPEN,SPIKE,CLOSED,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
4,52,2021-12-30,01-SUMBAGUT,HUAWEI,BJI735,BJI735MM_SIMPANGBRAHRANGTEL,P2,No Program,TELKOM,2481,FO,MDN989,GPON01-D1-BJI-3 1/5/1/21 ME-D1-BJIA lag-2,BJI735(FO),0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-24 07:50:45,Marcxopolo,2022,NULL,NULL
5,52,2021-12-30,01-SUMBAGUT,EID,CAG071,CAG071MM1-PASAR-TEUNOM,P4,No Program,TELKOMSEL,2241,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
6,52,2021-12-30,01-SUMBAGUT,EID,CAG508,CAG508MM2-LAMNO,P3,No Program,TELKOM,2941,#N/A,JHO001,GPON00-D1-LNO-2 0/1/6/50 ME-D1-LNOA lag-6,CAG508(FO),0,0,0,DONE,DONE,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
7,52,2021-12-30,01-SUMBAGUT,EID,GST119,GST119MM1-BOTOLAKHA,P4,Red Transport 2021,TELKOMSEL,2426,#N/A,#N/A,GPON00-D1-GST-2MZY 0/1/0/0 SME-D1-MZYA-TSEL PORT1/1/5,GST119(RADIO);GST833(RADIO);GST964(FO),#N/A,0,#N/A,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
8,52,2021-12-30,01-SUMBAGUT,EID,GST121,GST121MM1-MUZOI,P4,No Program,TELKOMSEL,2429,#N/A,#N/A,GPON00-D1-GST-2MZY 0/1/0/0 ME-D1-PMSC 253,GST121(RADIO);GST841(FO),#N/A,0,#N/A,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
9,52,2021-12-30,01-SUMBAGUT,EID,GST414,GST414MM1-HILIGEO-AFIA,P4,No Program,TELKOMSEL,2464,#N/A,#N/A,GPON00-D1-GST-2MZY 0/1/0/0 ME-D1-PMSC 253,GST414(RADIO);GST259(RADIO);GST121(RADIO);GST841(FO),#N/A,0,#N/A,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
10,52,2021-12-30,01-SUMBAGUT,EID,GST791,GST791MM2-GOMO-HUB-TEL,P4,No Program,TELKOMSEL,3583,#N/A,#N/A,"  SME-D1-GSTA SME-D1-GSTA_sdp:9178:2021303199
",GST791(RADIO);GST821(FO),#N/A,0,#N/A,OPEN,OPEN,SPIKE,CLOSED,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
11,52,2021-12-30,01-SUMBAGUT,EID,GST841,GST841MM1-LOTU-HUB,P2,No Program,TELKOM,2401,#N/A,GST814,GPON00-D1-GST-2MZY 0/1/1 0 IP ONT 10.199.26.120,#N/A,0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
12,52,2021-12-30,01-SUMBAGUT,EID,GST851,GST851MR1-TANONIKOO,P4,No Program,TELKOMSEL,2467,#N/A,#N/A,"  ME-D1-PMSC ME-D1-PMSC_sdp:178:2023312467
",GST851(RADIO);GST854(RADIO);GST791(RADIO);GST821(FO),#N/A,0,#N/A,OPEN,OPEN,SPIKE,CLOSED,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
13,52,2021-12-30,01-SUMBAGUT,EID,KBJ058,KBJ058MM2-BANDAR-PURBA,P1,Red Transport 2021,TELKOM,2472,RADIO,KBJ258,GPON00-D1-TIB-2 0/1/14/0 ME-D1-TIBA lag-4,KBJ058(RADIO);KBJ258(RADIO);KBJ612(RADIO);KBJ705(FO),Unmonitor di kedua sisi,0,0,DONE,OPEN,SPIKE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
14,52,2021-12-30,01-SUMBAGUT,EID,KBJ096,KBJ096MM1-SUGIHEN-2,P3,No Program,TELKOM,2455,#N/A,KBJ014,GPON00-D1-KBJ-2 0/4/15/0 ME-D1-KBJA lag-2,KBJ096(RADIO);KBJ934(FO),0,0,0,OPEN,OPEN,SPIKE,CLOSED,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
15,52,2021-12-30,01-SUMBAGUT,EID,KIS599,KIS599MM2-DESA-TAMBA,P3,No Program,TELKOM,2416,#N/A,KIS527,#N/A,#N/A,0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
16,52,2021-12-30,01-SUMBAGUT,EID,KPD301,KPD301MM1-BONAN-DOLOK,P4,Red Transport 2021,TELKOMSEL,2473,#N/A,#N/A,GPON00-D1-TRT-2 0/1/7/1 ME-D1-TRTA lag-2,KPD301(RADIO);KPD302(RADIO);TRT950(RADIO);TRT509(FO),#N/A,0,#N/A,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
17,52,2021-12-30,01-SUMBAGUT,EID,KPD302,KPD302MM2-SITAHUIS-HUB,P2,No Program,TELKOM,2462,#N/A,PMS267,GPON00-D1-TRT-2 0/1/7/1 ME-D1-TRTA lag-2,KPD302(RADIO);TRT950(RADIO);TRT509(FO),0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
18,52,2021-12-30,01-SUMBAGUT,EID,KPD308,KPD308MM1-PARSENGKAMAN,P4,Red Transport 2021,TELKOMSEL,2473,#N/A,#N/A,GPON00-D1-TRT-2 0/1/7/1 ME-D1-TRTA lag-2,KPD308(RADIO);KPD302(RADIO);TRT950(RADIO);TRT509(FO),#N/A,0,#N/A,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
19,52,2021-12-30,01-SUMBAGUT,EID,KPD314,KPD314MM2-DESA-TARUTUNG-BOLAK,P4,No Program,TELKOMSEL,2403,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,OPEN,OPEN,SPIKE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
20,52,2021-12-30,01-SUMBAGUT,EID,KPD395,KPD395MM1-RAMPA,P2,Red Transport 2021,TELKOM,2498,#N/A,TRT879,GPON00-D1-TRT-2 0/1/7/1 ME-D1-TRTA lag-2,KPD395(RADIO);KPD301(RADIO);KPD302(RADIO);TRT950(RADIO);TRT509(FO),0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
21,52,2021-12-30,01-SUMBAGUT,EID,KRB177,KRB177MM1-BO-TENGGULUN,P2,Red Transport 2021,TELKOM,2413,#N/A,KRB714,GPON01-D1-KSG-2 0/6/9/30 ME-D1-KSGA lag-3,KRB177(FO),0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
22,52,2021-12-30,01-SUMBAGUT,EID,KRB701,KRB701MM1-SIMPANG-OPAK,P2,No Program,TELKOM,2402,#N/A,LHK001,"  ME-D1-KSGA ME-D1-KSGA_sap:1/2/3:2402
",KRB701(FO),0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
23,52,2021-12-30,01-SUMBAGUT,EID,KRB701,KRB701MM2-SIMPANG-OPAK,P2,No Program,TELKOM,2402,#N/A,LHK001,"  ME-D1-KSGA ME-D1-KSGA_sap:1/2/3:2402
",KRB701(FO),0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
24,52,2021-12-30,01-SUMBAGUT,HUAWEI,LBP100,LBP100MM_KEBUNSPEMPATFIRDAUSTEL,P2,No Program,TELKOM,2451,#N/A,TBT087,GPON00-D1-SRA-3 1/7/16/1 ME-D1-TMUA-SBB lag-2,LBP100(RADIO);LBP049(RADIO),0,0,0,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
25,52,2021-12-30,01-SUMBAGUT,HUAWEI,LBP112,LBP112M41_RUMAHRIH,P4,Red Transport 2021,TELKOMSEL,2431,#N/A,#N/A,GPON00-D1-GLG-2 0/1/11/23 ME-D1-TJRA lag-3,LBP112(RADIO);LBP748(RADIO);LBP553(FO),#N/A,0,#N/A,OPEN,OPEN,CONSECUTIVE,OPEN,NULL,2022-03-21 06:29:44,2022-03-21 06:29:44,NULL,2022,NULL,NULL
